event,aX,aY,aZ,gX,gY,gZ
2,0.930,0.015,-0.022,2.808,-38.452,-6.287
2,0.953,0.002,0.044,5.554,-39.001,-7.141
2,0.969,-0.008,0.053,3.174,-43.640,-7.263
2,0.990,-0.020,0.069,-0.061,-48.523,-6.531
2,0.997,-0.023,0.091,-6.470,-57.983,-2.991
2,0.993,-0.023,0.096,-8.423,-62.073,-0.305
2,0.985,-0.012,0.103,-6.226,-61.646,-0.488
2,0.983,0.006,0.091,-1.526,-62.134,-2.380
2,0.975,0.018,0.113,-6.042,-64.453,-2.563
2,0.989,0.018,0.197,-7.996,-62.439,-2.075
2,0.993,-0.010,0.223,-12.817,-60.913,-0.549
2,0.967,-0.057,0.218,-14.465,-62.439,0.488
2,0.946,-0.035,0.187,-15.015,-67.749,2.136
2,0.934,-0.007,0.170,-9.521,-71.289,2.563
2,0.896,0.017,0.161,-5.981,-69.641,2.686
2,0.897,-0.018,0.257,-1.282,-63.782,2.380
2,0.914,-0.045,0.325,-3.357,-65.369,1.526
2,0.937,-0.068,0.403,-5.737,-70.129,1.587
2,0.938,-0.050,0.406,-12.024,-83.740,2.197
2,0.883,-0.011,0.314,-14.771,-88.379,2.136
2,0.825,0.023,0.299,-11.658,-86.609,2.441
2,0.840,0.041,0.348,-10.925,-78.796,3.296
2,0.882,0.027,0.432,-12.207,-75.256,3.662
2,0.883,0.004,0.442,-3.906,-71.533,3.723
2,0.859,-0.006,0.529,2.747,-72.998,3.601
2,0.820,-0.010,0.535,4.089,-77.942,3.357
2,0.705,-0.001,0.430,-0.183,-79.895,4.089
2,0.730,0.033,0.458,-0.610,-79.468,4.761
2,0.780,0.044,0.519,1.648,-78.674,4.456
2,0.859,0.057,0.600,-1.892,-78.918,5.188
2,0.863,0.061,0.621,-6.226,-77.332,7.812
2,0.820,0.047,0.637,-4.211,-76.416,8.423
2,0.725,0.006,0.599,5.737,-74.768,7.812
2,0.690,-0.018,0.581,14.771,-72.815,5.798
2,0.698,-0.005,0.610,14.160,-72.083,5.554
2,0.713,0.021,0.632,8.240,-68.054,5.249
2,0.714,0.059,0.662,5.859,-65.063,5.615
2,0.699,0.058,0.675,8.667,-60.547,4.700
2,0.652,0.014,0.705,10.742,-60.242,3.174
2,0.615,-0.024,0.723,10.498,-64.209,0.244
2,0.604,-0.031,0.727,6.592,-67.627,-0.671
2,0.617,-0.018,0.731,5.737,-68.726,-0.244
2,0.629,0.005,0.748,7.141,-68.359,1.770
2,0.616,0.038,0.765,8.484,-65.186,2.258
2,0.584,-0.005,0.767,10.376,-57.434,0.610
2,0.568,-0.032,0.756,10.498,-53.345,-0.366
2,0.553,-0.033,0.754,10.071,-53.650,-0.183
2,0.563,-0.017,0.772,9.277,-53.528,-0.183
2,0.567,0.003,0.828,9.399,-52.612,-0.549
2,0.547,0.002,0.854,10.254,-54.443,0.061
2,0.515,-0.012,0.893,9.827,-57.861,1.526
2,0.508,-0.008,0.904,5.066,-64.026,4.517
2,0.498,0.003,0.890,-3.906,-63.904,4.944
2,0.435,-0.015,0.812,-6.592,-61.035,4.089
2,0.390,-0.009,0.785,-2.563,-54.016,2.808
2,0.343,0.025,0.847,-0.122,-52.856,2.380
2,0.346,0.027,0.913,-0.244,-57.495,1.709
2,0.377,0.004,0.988,-1.770,-61.951,2.441
2,0.363,0.006,0.959,-6.165,-71.228,4.333
2,0.330,0.007,0.916,-4.028,-71.045,4.089
2,0.265,0.004,0.832,-1.099,-67.078,3.967
2,0.252,0.013,0.839,5.859,-60.547,3.418
2,0.288,0.021,0.918,9.155,-60.425,2.991
2,0.335,0.020,0.994,8.667,-66.956,3.906
2,0.401,0.001,1.091,1.770,-72.449,4.456
2,0.382,-0.011,1.059,-7.080,-76.538,3.296
2,0.335,0.000,1.059,-1.709,-73.120,2.319
2,0.365,-0.024,1.182,9.583,-63.599,1.709
2,0.384,-0.038,1.188,8.667,-52.673,3.784
2,0.392,-0.002,0.986,5.554,-50.110,5.005
2,0.386,0.029,0.943,3.601,-53.528,3.052
2,0.298,0.010,0.942,2.014,-50.293,1.526
2,0.177,-0.037,1.035,3.601,-31.006,-0.061
2,0.152,-0.047,1.106,5.310,-15.076,-0.427
2,0.119,-0.045,1.114,3.113,-17.395,-0.854
2,0.073,-0.011,1.053,-0.854,-40.649,-0.488
2,0.026,0.062,1.016,-3.479,-47.241,0.977
2,0.079,0.067,1.057,-9.521,-30.273,3.296
2,0.093,0.041,1.054,-16.113,-15.198,1.282
2,0.138,0.011,1.040,-17.578,-16.357,-0.732
2,0.172,0.006,1.003,-8.728,-35.522,-4.211
2,0.163,0.021,0.873,-3.723,-48.523,-3.052
2,0.160,0.043,0.855,11.230,-48.767,1.892
2,0.183,0.069,1.032,14.709,-37.720,3.784
2,0.187,0.039,1.168,11.475,-16.235,4.761
2,0.135,-0.082,1.263,9.033,-11.353,3.723
2,0.034,-0.110,1.125,2.197,-13.855,0.183
2,0.002,-0.082,1.013,-7.141,-22.827,-2.441
2,0.013,-0.026,0.860,-9.399,-27.954,-2.808
2,0.028,-0.012,0.878,-7.935,-26.855,-1.709
2,0.053,-0.019,1.071,-8.240,-19.958,-0.671
2,0.026,-0.059,1.075,-9.216,-8.484,0.305
2,0.017,-0.056,1.042,-4.150,-13.733,1.343
2,0.074,0.002,1.027,-0.549,-15.442,1.465
2,0.112,0.024,1.031,3.845,-10.132,0.732
2,0.103,0.012,0.993,5.127,-5.066,0.122
2,0.054,-0.016,0.957,8.667,-3.540,-1.770
2,-0.019,-0.026,0.965,12.451,-5.859,-2.808
2,-0.019,-0.005,0.987,14.038,-9.216,-4.456
2,-0.002,-0.004,0.976,7.507,-13.123,-4.456
2,0.046,0.028,0.967,4.333,-16.479,-3.784
2,0.073,0.031,0.973,-0.244,-22.095,-2.808
2,0.089,0.004,0.984,-0.366,-23.193,-1.526
2,0.062,-0.017,0.965,4.333,-21.545,0.305
2,0.052,-0.015,1.000,8.118,-23.193,-0.732
2,-0.001,-0.018,1.018,6.470,-24.414,-0.854
2,-0.026,-0.028,0.980,-1.282,-28.076,0.671
2,-0.040,-0.005,0.970,-2.563,-30.701,1.770
2,-0.038,0.020,0.977,0.061,-31.433,1.221
2,-0.033,0.041,0.984,1.526,-30.273,-0.305
2,-0.028,0.030,0.992,2.380,-27.161,-1.587
2,-0.033,0.003,1.021,3.052,-24.231,-0.916
2,-0.051,-0.019,1.002,4.028,-16.235,0.366
2,-0.093,-0.031,0.988,2.808,-13.794,1.221
2,-0.128,-0.016,0.998,2.747,-8.850,2.869
2,-0.132,-0.008,0.990,4.089,-2.441,4.822
2,-0.095,-0.003,0.972,3.906,-0.244,5.554
2,-0.073,-0.004,0.976,3.784,1.587,5.798
2,-0.048,-0.013,0.968,3.662,1.953,5.249
2,-0.045,-0.013,0.970,4.272,1.465,4.578
2,-0.043,-0.016,0.989,6.592,2.136,4.639
2,-0.057,-0.047,0.976,7.568,1.831,4.028
2,-0.056,-0.061,0.983,9.155,0.793,2.075
2,-0.053,-0.072,0.987,8.667,1.404,1.526
2,-0.053,-0.056,0.992,6.165,3.113,2.625
2,-0.043,-0.006,1.018,5.554,3.906,2.502
2,-0.027,-0.005,0.968,2.808,3.967,0.305
2,-0.018,-0.022,0.956,2.380,1.648,-1.160
2,-0.022,-0.043,0.972,2.625,0.671,-1.221
2,-0.033,-0.047,0.974,1.343,-0.732,-1.160
2,-0.040,-0.055,0.994,0.244,-1.831,-1.404
2,-0.040,-0.060,1.002,-0.610,-2.502,-1.648
2,-0.052,-0.056,0.993,-0.427,-1.709,-1.038
