event,aX,aY,aZ,gX,gY,gZ
2,0.676,-0.060,-0.850,-1.953,-100.525,2.869
2,0.785,-0.042,-0.835,1.953,-106.750,3.174
2,0.864,-0.033,-0.817,7.690,-107.605,3.235
2,1.002,-0.000,-0.793,10.010,-104.492,2.991
2,1.045,0.022,-0.788,13.428,-87.646,4.089
2,1.094,0.034,-0.685,13.916,-73.547,4.700
2,1.099,0.016,-0.581,11.292,-39.246,1.648
2,1.045,-0.032,-0.391,10.071,-23.621,-1.526
2,0.893,-0.078,-0.333,6.165,-13.062,-5.920
2,0.799,-0.088,-0.356,1.221,-40.222,-7.690
2,0.674,-0.071,-0.393,2.197,-60.974,-7.690
2,0.672,-0.052,-0.394,2.075,-96.069,-5.432
2,0.734,-0.017,-0.394,-0.427,-107.056,-3.601
2,0.776,-0.002,-0.376,-4.517,-112.854,0.366
2,0.853,0.038,-0.309,-3.967,-107.239,1.099
2,0.887,0.064,-0.284,2.319,-86.914,-1.038
2,0.944,0.077,-0.273,4.578,-77.271,-3.113
2,0.965,0.028,-0.337,4.150,-67.139,-5.615
2,0.954,0.013,-0.356,5.249,-71.350,-5.310
2,0.947,0.005,-0.293,7.568,-74.646,-4.944
2,0.960,-0.003,-0.237,10.925,-71.899,-4.578
2,0.989,-0.006,-0.136,9.644,-64.514,-3.479
2,0.992,0.001,-0.143,8.179,-42.908,2.625
2,0.967,-0.033,-0.207,11.169,-35.522,5.615
2,0.937,-0.045,-0.227,11.536,-33.508,11.475
2,0.871,-0.040,-0.236,7.019,-36.499,13.062
2,0.880,-0.013,-0.184,0.488,-39.246,11.719
2,0.914,-0.004,-0.161,-1.526,-37.476,9.949
2,0.989,-0.005,-0.139,-0.916,-29.785,8.606
2,1.014,-0.010,-0.144,5.676,-18.616,10.498
2,1.024,-0.013,-0.183,9.216,-13.489,11.475
2,1.018,-0.005,-0.198,13.855,-11.719,12.329
2,0.979,0.008,-0.217,14.343,-15.869,11.963
2,0.946,0.013,-0.224,8.301,-27.222,9.949
2,0.931,0.003,-0.207,2.625,-29.541,8.545
2,0.953,-0.001,-0.200,-3.235,-26.733,6.836
2,0.976,0.005,-0.204,-1.648,-25.208,7.263
2,0.978,0.008,-0.195,2.380,-21.973,8.301
2,0.971,0.010,-0.185,2.258,-20.264,8.057
2,0.970,0.005,-0.193,-0.244,-18.188,7.141
2,0.972,-0.001,-0.203,-2.441,-17.517,6.836
2,0.989,-0.010,-0.185,-2.136,-16.479,7.446
2,0.995,-0.009,-0.177,-2.197,-12.573,8.911
2,0.992,0.007,-0.155,-3.418,-10.681,8.667
2,0.986,0.010,-0.150,-4.028,-6.653,5.981
2,0.987,0.015,-0.144,-3.296,-5.554,4.089
2,0.996,0.007,-0.149,-3.418,-5.432,0.977
2,0.994,0.007,-0.160,-2.747,-4.028,-0.793
2,0.997,0.023,-0.162,-1.038,-2.258,-2.014
2,1.002,0.027,-0.157,-0.366,2.258,-6.104
2,0.986,0.019,-0.177,-1.465,3.540,-7.446
2,0.955,0.018,-0.195,-2.136,0.671,-7.080
2,0.947,0.023,-0.189,-1.892,-4.883,-7.141
2,0.947,0.040,-0.186,-3.235,-6.653,-7.812
2,0.952,0.045,-0.195,-5.371,-9.460,-8.362
2,0.971,0.047,-0.194,-4.700,-9.949,-7.751
2,0.985,0.044,-0.187,-2.930,-7.324,-5.066
2,0.986,0.034,-0.207,-1.587,-4.395,-2.563
