event,aX,aY,aZ,gX,gY,gZ
3,0.901,-0.124,0.007,-34.485,8.484,0.061
3,0.919,-0.141,0.010,-32.959,11.353,0.793
3,0.919,-0.145,0.008,-28.076,16.357,2.441
3,0.920,-0.152,0.000,-26.367,17.029,3.052
3,0.919,-0.153,-0.006,-26.978,15.137,4.211
3,0.918,-0.152,-0.007,-27.588,13.611,4.700
3,0.922,-0.138,0.010,-26.245,11.230,5.493
3,0.924,-0.127,0.015,-23.437,10.193,5.920
3,0.935,-0.109,-0.002,-21.790,9.888,5.920
3,0.944,-0.106,-0.010,-20.203,8.057,5.859
3,0.963,-0.117,0.004,-19.897,7.080,4.944
3,0.986,-0.132,-0.011,-18.188,6.958,4.211
3,1.000,-0.137,-0.023,-13.245,6.165,3.540
3,1.020,-0.131,-0.045,-11.414,5.493,4.028
3,1.024,-0.120,-0.036,-8.240,6.714,6.104
3,1.018,-0.118,-0.007,-6.531,8.545,6.958
3,1.012,-0.137,0.002,-4.333,10.376,7.751
3,1.017,-0.146,0.004,-1.526,9.949,8.484
3,1.044,-0.160,0.007,0.122,9.155,9.033
3,1.069,-0.165,0.001,-0.854,4.822,9.827
3,1.144,-0.137,0.014,-2.075,1.526,10.254
3,1.183,-0.115,0.054,0.671,-1.648,10.559
3,1.201,-0.115,0.040,1.404,-1.770,9.888
3,1.162,-0.139,-0.033,-5.432,-7.568,7.507
3,1.141,-0.135,-0.031,-13.611,-15.564,5.859
3,1.088,-0.111,-0.063,-14.465,-17.517,5.371
3,1.070,-0.093,-0.102,-11.169,-19.714,5.737
3,1.079,-0.037,-0.120,-8.789,-19.775,6.897
3,1.094,0.008,-0.075,-3.967,-15.442,8.972
3,1.083,0.010,-0.075,-2.686,-10.376,7.507
3,1.018,0.002,-0.114,-4.517,-9.949,6.165
3,0.971,0.004,-0.122,-8.850,-10.071,5.310
3,0.876,0.005,-0.135,-9.949,-10.071,5.615
3,0.841,0.014,-0.154,-8.423,-13.794,5.554
3,0.826,0.050,-0.125,-7.446,-16.296,5.493
3,0.860,0.066,-0.127,-9.460,-15.076,4.822
3,0.887,0.066,-0.135,-5.249,-7.874,3.479
3,0.940,0.054,-0.112,-1.953,-3.479,3.052
3,0.956,0.042,-0.107,1.526,2.930,3.113
3,0.980,0.015,-0.111,3.479,3.723,3.357
3,0.995,0.010,-0.089,9.277,3.540,4.822
3,1.025,0.005,-0.023,11.780,4.150,5.615
3,1.027,-0.002,-0.009,11.658,5.798,5.432
3,1.000,-0.008,-0.029,9.705,5.737,4.272
3,0.982,-0.017,-0.042,4.761,3.601,1.282
3,0.952,-0.023,-0.042,1.770,1.831,0.244
3,0.923,0.008,-0.025,-2.991,-0.549,-0.549
3,0.919,0.019,-0.022,-6.531,0.061,-0.977
3,0.927,0.021,-0.024,-8.667,0.732,-1.038
3,0.936,0.020,-0.024,-12.268,2.441,-0.305
3,0.950,0.019,-0.033,-13.489,3.418,0.427
3,0.964,0.029,-0.014,-16.113,4.150,2.319
3,0.973,0.030,-0.008,-15.015,6.836,3.540
