event,aX,aY,aZ,gX,gY,gZ
2,-0.783,-0.262,-0.577,-0.183,-0.183,0.244
2,-0.784,-0.263,-0.577,-0.183,-0.183,0.305
2,-0.783,-0.264,-0.577,-0.122,-0.183,0.244
2,-0.783,-0.264,-0.576,-0.122,-0.122,0.244
2,-0.782,-0.263,-0.577,-0.122,-0.122,0.244
2,-0.782,-0.262,-0.577,-0.061,-0.061,0.183
2,-0.782,-0.262,-0.577,0.000,-0.061,0.183
2,-0.782,-0.263,-0.576,0.061,-0.061,0.183
2,-0.783,-0.264,-0.577,0.122,0.000,0.183
2,-0.783,-0.264,-0.578,0.244,-0.061,0.244
2,-0.782,-0.264,-0.577,0.305,-0.061,0.244
2,-0.782,-0.264,-0.577,0.244,0.000,0.244
2,-0.782,-0.264,-0.577,0.305,0.000,0.122
2,-0.783,-0.262,-0.578,0.305,0.000,0.061
2,-0.783,-0.262,-0.577,0.427,0.000,0.183
2,-0.783,-0.263,-0.577,0.488,0.000,0.183
2,-0.782,-0.263,-0.577,0.427,0.061,0.122
2,-0.781,-0.263,-0.577,0.366,0.000,0.183
2,-0.782,-0.263,-0.576,0.305,-0.061,0.122
2,-0.783,-0.263,-0.577,0.305,-0.061,0.122
2,-0.783,-0.262,-0.579,0.305,0.000,0.122
2,-0.782,-0.262,-0.577,0.244,0.000,0.183
2,-0.782,-0.262,-0.578,0.244,0.000,0.183
2,-0.783,-0.262,-0.578,0.183,-0.061,0.122
2,-0.783,-0.263,-0.578,0.122,0.000,0.122
2,-0.783,-0.263,-0.577,0.122,-0.061,0.183
2,-0.782,-0.262,-0.576,0.000,-0.122,0.305
2,-0.783,-0.263,-0.576,-0.061,-0.122,0.244
2,-0.782,-0.263,-0.577,-0.061,0.000,0.183
2,-0.783,-0.262,-0.578,-0.061,-0.061,0.183
2,-0.782,-0.262,-0.578,-0.061,-0.061,0.244
2,-0.782,-0.262,-0.578,-0.122,-0.061,0.305
2,-0.781,-0.263,-0.578,-0.183,-0.061,0.244
2,-0.782,-0.263,-0.578,-0.122,-0.061,0.183
2,-0.782,-0.262,-0.578,-0.061,-0.061,0.183
2,-0.782,-0.263,-0.579,-0.061,-0.061,0.244
2,-0.782,-0.263,-0.579,-0.061,-0.061,0.183
2,-0.782,-0.264,-0.577,-0.061,-0.061,0.244
2,-0.782,-0.263,-0.577,-0.061,-0.061,0.244
2,-0.782,-0.263,-0.578,-0.061,-0.061,0.244
2,-0.782,-0.264,-0.578,-0.122,-0.061,0.183
2,-0.782,-0.263,-0.578,0.000,0.000,0.122
2,-0.782,-0.264,-0.578,0.061,0.000,0.122
2,-0.782,-0.264,-0.578,0.061,0.000,0.183
2,-0.781,-0.264,-0.577,0.122,0.061,0.244
2,-0.783,-0.263,-0.577,0.122,0.061,0.183
2,-0.782,-0.262,-0.577,0.183,0.061,0.122
2,-0.782,-0.264,-0.577,0.183,-0.061,0.122
2,-0.781,-0.264,-0.577,0.183,-0.061,0.244
2,-0.782,-0.264,-0.577,0.122,0.000,0.244
2,-0.782,-0.263,-0.577,0.061,0.061,0.183
2,-0.781,-0.262,-0.577,0.122,0.061,0.122
2,-0.781,-0.263,-0.578,0.244,0.000,0.122
2,-0.782,-0.264,-0.578,0.183,0.000,0.122
2,-0.781,-0.263,-0.578,0.122,0.000,0.122
3,0.958,-0.220,-0.115,0.183,-1.953,-0.366
3,0.961,-0.231,-0.105,1.221,-1.465,-0.366
3,0.959,-0.244,-0.099,-0.427,-1.099,-0.671
3,0.957,-0.256,-0.088,-2.686,-1.770,-0.793
3,0.959,-0.257,-0.084,-8.118,-4.089,-0.427
3,0.956,-0.259,-0.094,-21.301,-7.324,0.977
3,0.941,-0.265,-0.090,-33.630,-9.766,1.892
3,0.942,-0.271,-0.056,-67.749,-15.930,3.662
3,0.963,-0.266,0.039,-88.989,-18.799,4.883
3,0.957,-0.252,0.062,-122.803,-18.188,8.057
3,0.932,-0.227,0.061,-127.197,-13.611,8.911
3,0.915,-0.214,0.132,-109.375,4.456,4.944
3,0.906,-0.240,0.108,-66.101,28.381,-3.601
3,0.905,-0.291,0.051,-60.730,30.334,-4.517
3,0.907,-0.280,0.116,-85.388,19.836,-2.869
3,0.945,-0.251,0.290,-95.520,18.005,-5.920
3,0.998,-0.285,0.356,-85.937,24.902,-19.287
3,1.079,-0.428,0.312,-65.613,34.729,-22.766
3,1.075,-0.473,0.176,-50.903,58.777,-8.728
3,0.991,-0.380,-0.078,-67.749,63.354,4.028
3,0.937,-0.209,-0.108,-93.872,53.650,13.733
3,0.931,-0.182,-0.070,-90.820,44.556,8.240
3,0.953,-0.193,0.039,-78.064,27.527,-6.775
3,0.970,-0.194,0.090,-74.524,19.470,-14.465
3,0.974,-0.219,0.070,-72.449,20.386,-16.907
3,0.980,-0.287,-0.013,-63.782,24.658,-21.545
3,1.016,-0.444,-0.092,-59.021,19.958,-19.531
3,1.014,-0.456,-0.024,-51.331,0.610,-3.113
3,0.928,-0.279,0.200,-47.607,-6.042,5.798
3,0.829,-0.095,0.272,-30.457,-2.075,7.507
3,0.848,-0.096,0.260,-32.715,7.874,-12.695
3,0.893,-0.161,0.338,-37.231,8.972,-20.386
3,0.858,-0.176,0.374,-31.006,25.513,-26.672
3,0.699,-0.191,0.265,-27.771,41.504,-28.564
3,0.598,-0.182,0.168,-26.855,62.683,-32.410
3,0.434,-0.115,0.120,-30.762,60.852,-43.884
3,0.391,-0.159,0.255,-33.508,58.777,-52.917
3,0.388,-0.215,0.355,-37.109,62.256,-62.073
3,0.327,-0.225,0.682,-43.091,71.045,-59.204
3,0.058,-0.162,0.783,-81.726,111.572,-47.913
3,-0.067,0.006,0.695,-131.531,135.864,-40.833
3,-0.105,0.286,0.432,-206.116,177.734,-51.453
3,-0.138,0.226,0.168,-200.623,219.055,-98.022
3,-0.182,0.051,-0.154,-214.661,222.168,-110.962
3,-0.158,0.043,-0.147,-215.271,202.698,-125.488
3,-0.132,0.029,-0.136,-201.477,192.505,-134.033
3,-0.128,0.013,-0.140,-198.059,172.058,-145.325
3,-0.107,-0.022,-0.146,-203.674,162.781,-148.132
3,-0.088,-0.055,-0.149,-214.600,144.165,-149.963
3,-0.079,-0.069,-0.148,-222.229,123.596,-147.339
3,-0.056,-0.097,-0.148,-224.854,112.610,-144.348
3,-0.041,-0.110,-0.150,-226.135,89.111,-134.644
3,-0.012,-0.134,-0.151,-224.365,76.233,-127.686
3,0.016,-0.151,-0.160,-213.257,46.570,-108.826
3,0.027,-0.155,-0.169,-187.256,9.705,-83.557
3,0.033,-0.140,-0.191,-166.443,-12.817,-69.214
3,0.021,-0.117,-0.204,-103.760,-68.787,-41.443
3,-0.049,-0.021,-0.224,-58.533,-102.539,-32.532
3,-0.168,0.076,-0.238,74.951,-181.763,-39.734
3,-0.223,0.107,-0.245,272.400,-277.893,-88.501
3,0.541,0.214,0.031,284.912,-321.289,-146.729
3,0.286,0.167,0.166,-278.809,-161.316,-316.040
3,-0.623,0.365,-1.464,-302.002,-125.366,-364.075
3,-2.909,0.537,-1.228,1164.734,-792.908,-901.306
3,-3.869,-0.607,-1.179,2000.000,-838.013,-1788.269
3,-2.659,-0.149,-3.676,1293.518,-771.606,-1325.989
3,-0.972,-0.206,-3.626,-347.168,-97.290,115.540
